Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
5/15/22,Amazon.com,,5/15/22,Shipped,$10.99 ,$0.00 ,$1.03 ,$0.00 ,$1.03 ,$12.02 
5/18/22,Amazon.com,,5/18/22,Shipped,$14.98 ,$0.00 ,$1.43 ,$1.00 ,$1.43 ,$15.41 
5/22/22,Amazon.com,,5/22/22,Shipped,$23.99 ,$0.00 ,$2.46 ,$0.00 ,$2.46 ,$26.45 
5/23/22,Amazon.com,,5/24/22,Shipped,$14.99 ,$0.00 ,$1.41 ,$0.00 ,$1.41 ,$16.40 
5/23/22,Amazon.com,,5/24/22,Shipped,$24.99 ,$0.00 ,$2.56 ,$0.00 ,$2.56 ,$27.55 
5/25/22,Amazon.com,,5/26/22,Shipped,$51.98 ,$0.00 ,$5.33 ,$0.00 ,$5.33 ,$57.31 
5/28/22,Amazon.com,,5/28/22,Shipped,$19.96 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$21.98 
5/30/22,Amazon.com,,5/31/22,Shipped,$70.00 ,$0.00 ,$7.07 ,$0.00 ,$7.07 ,$77.07 
5/31/22,Amazon.com,,6/1/22,Shipped,$14.99 ,$0.00 ,$1.51 ,$0.00 ,$1.51 ,$16.50 
6/6/22,Amazon.com,,6/7/22,Shipped,$24.99 ,$0.00 ,$2.56 ,$0.00 ,$2.56 ,$27.55 
6/6/22,Amazon.com,,6/7/22,Shipped,$24.99 ,$0.00 ,$2.56 ,$0.00 ,$2.56 ,$27.55 
6/15/22,Amazon.com,,6/16/22,Shipped,$6.95 ,$0.00 ,$0.65 ,$0.00 ,$0.65 ,$7.60 
6/15/22,Amazon.com,,6/15/22,Shipped,$14.44 ,$0.00 ,$1.35 ,$0.00 ,$1.35 ,$15.79 
6/18/22,Amazon.com,,6/18/22,Shipped,$19.54 ,$0.00 ,$2.00 ,$0.00 ,$2.00 ,$21.54 
6/18/22,Amazon.com,,6/18/22,Shipped,$7.99 ,$0.00 ,$0.75 ,$0.00 ,$0.75 ,$8.74 
6/21/22,Amazon.com,,6/21/22,Shipped,$39.98 ,$2.99 ,$4.09 ,$2.99 ,$4.09 ,$44.07 
6/21/22,Amazon.com,,6/21/22,Shipped,$11.99 ,$0.00 ,$1.23 ,$0.00 ,$1.23 ,$13.22 
6/25/22,Amazon.com,,6/25/22,Shipped,$13.99 ,$0.00 ,$1.31 ,$0.00 ,$1.31 ,$15.30 
7/6/22,Amazon.com,,7/8/22,Shipped,$24.49 ,$0.00 ,$2.30 ,$0.00 ,$2.30 ,$26.79 
7/11/22,Amazon.com,,7/12/22,Shipped,$46.98 ,$0.00 ,$4.74 ,$0.00 ,$4.74 ,$51.72 
7/12/22,Amazon.com,,7/13/22,Shipped,$42.65 ,$0.00 ,$4.00 ,$0.00 ,$4.00 ,$46.65 
7/12/22,Amazon.com,,7/13/22,Shipped,$33.99 ,$0.00 ,$3.19 ,$0.00 ,$3.19 ,$37.18 
7/12/22,Amazon.com,,7/13/22,Shipped,$38.39 ,$0.00 ,$3.60 ,$0.00 ,$3.60 ,$41.99 
